country_or_area,year,comm_code,commodity,flow,trade_usd,weight_kg,quantity_name,quantity,category
Spain,2016,10111,"Horses, live pure-bred breeding",Export,808705,164063.0,No Quantity,,01_live_animals
Spain,2016,10119,"Horses, live except pure-bred breeding",Export,9131582,2448703.0,No Quantity,,01_live_animals
Spain,2016,10120,"Asses, mules and hinnies, live",Export,2635,873.0,No Quantity,,01_live_animals
Spain,2016,10210,"Bovine animals, live pure-bred breeding",Export,6068748,1110193.0,Number of items,3669.0,01_live_animals
Spain,2016,10290,"Bovine animals, live, except pure-bred breeding",Export,230034251,80983393.0,Number of items,288609.0,01_live_animals
Spain,2016,10310,"Swine, live pure-bred breeding",Export,1663097,1006647.0,Number of items,3333.0,01_live_animals
Spain,2016,10391,"Swine, live except pure-bred breeding < 50 kg",Export,10099570,4122231.0,Number of items,195445.0,01_live_animals
Spain,2016,10392,"Swine, live except pure-bred breeding > 50 kg",Export,174835486,137193054.0,Number of items,1106084.0,01_live_animals
Spain,2016,10410,"Sheep, live",Export,164283144,52472995.0,Number of items,1959794.0,01_live_animals
Spain,2016,10420,"Goats, live",Export,698038,50194.0,No Quantity,,01_live_animals
Spain,2016,10511,"Fowls, live domestic < 185 grams",Export,61176923,1123763.0,Number of items,25581876.0,01_live_animals
Spain,2016,10591,"Fowls, live domestic > 185 grams",Export,5019985,1964707.0,Number of items,2044656.0,01_live_animals
Spain,2016,10599,"Poultry, live except domestic fowls, > 185 grams",Export,142711,80724.0,Number of items,9738.0,01_live_animals
Spain,2016,10600,"Animals, live, except farm animals",Export,29410950,1814554.0,Number of items,23460.0,01_live_animals
Spain,2015,10111,"Horses, live pure-bred breeding",Export,1049614,58387.0,No Quantity,,01_live_animals
Spain,2015,10119,"Horses, live except pure-bred breeding",Export,7255845,1673513.0,No Quantity,,01_live_animals
Spain,2015,10120,"Asses, mules and hinnies, live",Export,22173,8200.0,No Quantity,,01_live_animals
Spain,2015,10210,"Bovine animals, live pure-bred breeding",Export,11065140,2599482.0,Number of items,5133.0,01_live_animals
Spain,2015,10290,"Bovine animals, live, except pure-bred breeding",Export,217129729,80483515.0,Number of items,218030.0,01_live_animals
Spain,2015,10310,"Swine, live pure-bred breeding",Export,1684619,822180.0,Number of items,3291.0,01_live_animals
Spain,2015,10391,"Swine, live except pure-bred breeding < 50 kg",Export,11077145,5280167.0,Number of items,151082.0,01_live_animals
Spain,2015,10392,"Swine, live except pure-bred breeding > 50 kg",Export,184170106,141814865.0,Number of items,920591.0,01_live_animals
Spain,2015,10410,"Sheep, live",Export,140650807,43635383.0,Number of items,1338993.0,01_live_animals
Spain,2015,10420,"Goats, live",Export,216920,75102.0,No Quantity,,01_live_animals
Spain,2015,10511,"Fowls, live domestic < 185 grams",Export,39799399,1277678.0,Number of items,12763807.0,01_live_animals
Spain,2015,10519,"Poultry, live except domestic fowls, < 185 grams",Export,171879,44247.0,No Quantity,,01_live_animals
Spain,2015,10591,"Fowls, live domestic > 185 grams",Export,5902530,2235399.0,Number of items,1962909.0,01_live_animals
Spain,2015,10599,"Poultry, live except domestic fowls, > 185 grams",Export,167215,98512.0,Number of items,14682.0,01_live_animals
Spain,2015,10600,"Animals, live, except farm animals",Export,28936890,2269353.0,Number of items,641918.0,01_live_animals
Spain,2014,10111,"Horses, live pure-bred breeding",Export,5584290,282500.0,No Quantity,,01_live_animals
Spain,2014,10119,"Horses, live except pure-bred breeding",Export,7536876,2187853.0,No Quantity,,01_live_animals
Spain,2014,10120,"Asses, mules and hinnies, live",Export,470807,82627.0,No Quantity,,01_live_animals
Spain,2014,10210,"Bovine animals, live pure-bred breeding",Export,16919519,3971007.0,Number of items,7723.0,01_live_animals
Spain,2014,10290,"Bovine animals, live, except pure-bred breeding",Export,150246782,44395224.0,Number of items,135434.0,01_live_animals
Spain,2014,10310,"Swine, live pure-bred breeding",Export,1938582,625397.0,Number of items,15764.0,01_live_animals
